x,y
0,897
0.23782235,903.46875
0.475644699,897
0.713467049,903.46875
0.951289398,905.625
1.189111748,901.3125
1.426934097,905.625
1.664756447,903.46875
1.902578797,907.78125
2.140401146,909.9375
2.378223496,905.625
2.616045845,909.9375
2.853868195,905.625
3.091690544,909.9375
3.329512894,909.9375
3.567335244,909.9375
3.805157593,909.9375
4.042979943,905.625
4.280802292,912.09375
4.518624642,907.78125
4.756446991,912.09375
4.994269341,912.09375
5.232091691,912.09375
5.46991404,907.78125
5.70773639,905.625
5.945558739,903.46875
6.183381089,907.78125
6.421203438,901.3125
6.659025788,903.46875
6.896848138,899.15625
7.134670487,899.15625
7.372492837,903.46875
7.610315186,903.46875
7.848137536,899.15625
8.085959885,899.15625
8.323782235,899.15625
8.561604585,903.46875
8.799426934,905.625
9.037249284,899.15625
9.275071633,899.15625
9.512893983,897
9.750716332,894.84375
9.988538682,892.6875
10.22636103,890.53125
10.46418338,888.375
10.70200573,886.21875
10.93982808,884.0625
11.17765043,881.90625
11.41547278,881.90625
11.65329513,879.75
11.89111748,879.75
12.12893983,884.0625
12.36676218,881.90625
12.60458453,881.90625
12.84240688,877.59375
13.08022923,877.59375
13.31805158,881.90625
13.55587393,879.75
13.79369628,875.4375
14.03151862,879.75
14.26934097,873.28125
14.50716332,877.59375
14.74498567,875.4375
14.98280802,871.125
15.22063037,871.125
15.45845272,871.125
15.69627507,875.4375
15.93409742,873.28125
16.17191977,879.75
16.40974212,875.4375
16.64756447,877.59375
16.88538682,879.75
17.12320917,881.90625
17.36103152,884.0625
17.59885387,884.0625
17.83667622,890.53125
18.07449857,890.53125
18.31232092,884.0625
18.55014327,884.0625
18.78796562,881.90625
19.02578797,879.75
19.26361032,877.59375
19.50143266,875.4375
19.73925501,873.28125
19.97707736,871.125
20.21489971,868.96875
20.45272206,868.96875
20.69054441,871.125
20.92836676,871.125
21.16618911,871.125
21.40401146,868.96875
21.64183381,868.96875
21.87965616,871.125
22.11747851,875.4375
22.35530086,873.28125
22.59312321,879.75
22.83094556,875.4375
23.06876791,879.75
23.30659026,879.75
23.54441261,879.75
23.78223496,875.4375
24.02005731,875.4375
24.25787966,879.75
24.49570201,877.59375
24.73352436,879.75
24.9713467,879.75
25.20916905,875.4375
25.4469914,875.4375
25.68481375,879.75
25.9226361,881.90625
26.16045845,881.90625
26.3982808,879.75
26.63610315,879.75
26.8739255,879.75
27.11174785,881.90625
27.3495702,877.59375
27.58739255,884.0625
27.8252149,879.75
28.06303725,881.90625
28.3008596,884.0625
28.53868195,886.21875
28.7765043,886.21875
29.01432665,888.375
29.252149,890.53125
29.48997135,892.6875
29.7277937,894.84375
29.96561605,901.3125
30.2034384,897
30.44126074,897
30.67908309,897
30.91690544,897
31.15472779,894.84375
31.39255014,894.84375
31.63037249,892.6875
31.86819484,897
32.10601719,890.53125
32.34383954,894.84375
32.58166189,892.6875
32.81948424,892.6875
33.05730659,888.375
33.29512894,888.375
33.53295129,888.375
33.77077364,888.375
34.00859599,888.375
34.24641834,888.375
34.48424069,892.6875
34.72206304,892.6875
34.95988539,892.6875
35.19770774,892.6875
35.43553009,890.53125
35.67335244,890.53125
35.91117479,892.6875
36.14899713,892.6875
36.38681948,888.375
36.62464183,888.375
36.86246418,892.6875
37.10028653,892.6875
37.33810888,894.84375
37.57593123,894.84375
37.81375358,890.53125
38.05157593,890.53125
38.28939828,890.53125
38.52722063,890.53125
38.76504298,890.53125
39.00286533,894.84375
39.24068768,894.84375
39.47851003,892.6875
39.71633238,892.6875
39.95415473,897
40.19197708,894.84375
40.42979943,894.84375
40.66762178,899.15625
40.90544413,894.84375
41.14326648,901.3125
41.38108883,901.3125
41.61891117,897
41.85673352,897
42.09455587,903.46875
42.33237822,903.46875
42.57020057,903.46875
42.80802292,903.46875
43.04584527,903.46875
43.28366762,903.46875
43.52148997,897
43.75931232,897
43.99713467,901.3125
44.23495702,899.15625
