x,n
825,5
826,5
827,5
828,7
829,7
830,6
831,6
832,6
833,4
834,5
835,5
836,5
837,4
838,4
839,5
840,4
841,5
842,4
843,4
844,4
845,4
846,4
847,5
848,5
849,4
850,5
851,6
852,5
853,5
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,6
866,6
867,6
868,6
869,6
870,6
871,5
872,5
873,5
874,5
875,5
876,5
877,4
878,5
879,5
880,4
881,4
882,5
883,6
884,4
885,4
886,6
887,6
888,7
889,8
890,6
891,6
892,7
893,7
894,6
895,6
896,6
897,6
898,6
899,5
900,6
901,6
902,5
903,4
904,5
905,4
906,4
907,4
908,4
909,5
910,4
911,4
912,5
913,5
914,4
915,5
916,4
917,4
918,4
919,5
920,5
921,5
922,4
923,5
924,5
925,6
926,6
927,6
928,5
929,5
930,5
931,4
932,4
933,5
934,5
935,4
936,4
937,5
938,6
939,4
940,5
941,4
942,4
943,5
944,4
945,5
946,6
947,7
948,6
949,6
950,8
951,6
952,6
953,5
954,5
955,5
956,5
957,4
958,6
959,6
960,5
961,5
962,5
963,5
964,5
965,4
966,4
967,5
968,5
969,5
970,5
971,4
972,4
973,5
974,4
975,6
976,6
977,6
978,6
979,8
980,7
981,7
982,8
983,7
984,8
985,6
986,5
987,6
988,4
989,5
990,6
991,8
992,8
993,9
994,10
995,9
996,8
997,7
998,6
999,6
1000,6
1001,5
1002,6
1003,6
1004,6
1005,6
1006,6
1007,5
1008,5
1009,4
1010,5
1011,6
1012,4
1013,5
1014,5
1015,5
1016,4
1017,4
1018,4
1019,4
1020,5
1021,4
1022,4
1023,4
1024,6
1025,7
1026,4
1027,5
1028,4
1029,4
1030,4
1031,5
1032,5
1033,5
1034,4
1035,6
1036,5
1037,4
1038,5
1039,4
1040,5
1041,4
1042,4
1043,4
1044,5
1045,5
1046,5
1047,6
1048,6
1049,5
1050,5
1051,6
1052,5
1053,5
1054,4
1055,5
1056,6
1057,5
1058,6
1059,6
1060,5
1061,5
1062,5
1063,6
1064,6
1065,6
1066,5
1067,5
1068,5
1069,4
1070,4
1071,4
1072,4
1073,5
1074,5
1075,5
1076,4
1077,5
1078,5
1079,4
1080,4
1081,4
1082,4
1083,4
1084,4
1085,4
1086,4
1087,4
1088,4
1089,5
1090,4
1091,5
1092,6
1093,6
1094,5
1095,5
1096,5
1097,5
1098,5
1099,4
1100,5
1101,5
1102,5
1103,6
1104,6
1105,6
1106,7
1107,7
1108,7
1109,7
1110,5
1111,5
1112,6
1113,6
1114,6
1115,6
1116,6
1117,8
1118,7
1119,6
1120,7
1121,6
1122,5
1123,5
1124,5
1125,4
1126,5
1127,5
1128,5
1129,4
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,4
1137,5
1138,5
1139,4
1140,5
1141,5
1142,5
1143,5
1144,6
1145,6
1146,5
1147,5
1148,5
1149,6
1150,5
1151,5
1152,5
1153,5
1154,4
1155,7
1156,7
1157,7
1158,5
1159,5
1160,5
1161,4
1162,3
1163,4
1164,5
1165,5
1166,5
1167,6
1168,5
1169,6
1170,5
1171,5
1172,5
1173,4
1174,5
1175,5
1176,4
1177,5
1178,6
1179,8
1180,8
1181,10
1182,11
1183,11
1184,10
1185,9
1186,8
1187,8
1188,5
1189,5
1190,5
1191,4
1192,4
1193,4
1194,4
1195,4
1196,5
1197,4
1198,4
1199,4
1200,4
1201,4
1202,5
1203,5
1204,4
1205,5
1206,6
1207,7
1208,7
1209,7
1210,8
1211,9
1212,10
1213,9
1214,8
1215,8
1216,7
1217,4
1218,5
1219,5
1220,4
1221,5
1222,4
1223,4
1224,5
1225,5
1226,4
1227,5
1228,5
1229,5
1230,6
1231,7
1232,6
1233,6
1234,8
1235,7
1236,6
1237,6
1238,5
1239,6
1240,6
1241,4
1242,5
1243,5
1244,4
1245,5
1246,4
1247,4
1248,5
1249,5
1250,6
1251,6
1252,7
1253,7
1254,7
1255,8
1256,8
1257,7
1258,7
1259,6
1260,5
1261,5
1262,4
1263,4
1264,5
1265,5
1266,4
1267,4
1268,5
1269,5
1270,5
1271,5
1272,6
1273,6
1274,5
1275,5
1276,6
1277,4
1278,5
1279,6
1280,7
1281,8
1282,8
1283,8
1284,8
1285,8
1286,6
1287,5
1288,4
1289,5
1290,4
1291,4
1292,5
1293,5
1294,7
1295,12
1296,13
1297,14
1298,15
1299,16
1300,18
1301,17
1302,14
1303,15
1304,13
1305,12
1306,10
1307,8
1308,8
1309,7
1310,6
1311,8
1312,7
1313,6
1314,8
1315,7
1316,6
1317,6
1318,4
1319,5
1320,5
1321,5
1322,6
1323,9
1324,12
1325,14
1326,18
1327,23
1328,27
1329,33
1330,36
1331,41
1332,42
1333,42
1334,43
1335,41
1336,37
1337,34
1338,31
